id,kind,primary_name,name_agreement,county_fips,county_names,states,address,address_agreement,address_n_sources,operationalStatus,operationalStatus_agreement,operationalStatus_n_sources
court-adelanto-immigration-court,immigration-court,Adelanto Immigration Court,single,06037|06071,"San Bernardino County, CA|Los Angeles County, CA",CA,"Adelanto Detention Facility, 10250 Rancho Road, Suite 201A, Adelanto, CA 92301",single,1,OPEN,single,1
court-annandale-immigration-court,immigration-court,Annandale Immigration Court,single,51059,"Fairfax County, VA",VA,"7619 Little River Turnpike, Suite 400, Annandale, VA 22003",single,1,OPEN,single,1
court-atlanta-ted-turner-drive,immigration-court,Atlanta – Ted Turner Drive Immigration Court,single,13121,"Fulton County, GA",GA,"180 Ted Turner Drive, SW, Suite 241, Atlanta, GA 30303",single,1,"CLOSED CLOSED - July 7, 15. Alternate fillings at Stewart . Internet-based hearings will proceed.",single,1
court-atlanta-w-peachtree-street,immigration-court,Atlanta - W. Peachtree Street Immigration Court,single,13121,"Fulton County, GA",GA,"401 W. Peachtree Street, Suite 2600, Atlanta, GA 30308",single,1,"CLOSED CLOSED - July 7, 15. Alternate fillings at Stewart . Internet-based hearings will proceed.",single,1
court-aurora-immigration-court,immigration-court,Aurora Immigration Court,single,08001|08005|08031,"Adams County, CO|Arapahoe County, CO|Denver County, CO",CO,"3130 N. Oakland Street, Aurora, CO 80010",single,1,OPEN,single,1
court-baltimore-immigration-court,immigration-court,Baltimore Immigration Court,single,24510,"Baltimore city, MD",MD,"31 Hopkins Plaza, Room 440, Baltimore, MD 21201",single,1,OPEN,single,1
court-batavia-immigration-court,immigration-court,Batavia Immigration Court,single,36037,"Genesee County, NY",NY,"4250 Federal Drive, Room F108, Batavia, NY 14020",single,1,OPEN,single,1
court-baton-rouge-immigration-court,immigration-court,Baton Rouge Immigration Court,single,22033,"East Baton Rouge Parish, LA",LA,"451 Florida Street, Suite 500, Baton Rouge, LA 70801",single,1,OPEN,single,1
court-boston-immigration-court,immigration-court,Boston Immigration Court,single,25025,"Suffolk County, MA",MA,"15 New Sudbury Street, Room 320, Boston, MA 02203",single,1,OPEN,single,1
court-buffalo-immigration-court,immigration-court,Buffalo Immigration Court,single,36029,"Erie County, NY",NY,"130 Delaware Avenue, Suite 300, Buffalo, NY 14202",single,1,OPEN,single,1
court-charlotte-immigration-court,immigration-court,Charlotte Immigration Court,single,37119,"Mecklenburg County, NC",NC,"5701 Executive Center Drive, Suite 400, Charlotte, NC 28212",single,1,OPEN,single,1
court-chelmsford-immigration-court,immigration-court,Chelmsford Immigration Court,single,25017,"Middlesex County, MA",MA,"150 Apollo Drive, Suite 100, Chelmsford, MA 01824",single,1,OPEN,single,1
court-chicago-immigration-court,immigration-court,Chicago Immigration Court,single,17031,"Cook County, IL",IL,"55 E. Monroe Street*, Suite 1500, Chicago, IL 60603",single,1,Monroe Street: OPEN Clark Street: OPEN,single,1
court-cleveland-immigration-court,immigration-court,Cleveland Immigration Court,single,39035,"Cuyahoga County, OH",OH,"801 W. Superior Avenue, Suite 13 - 100, Cleveland, OH 44113",single,1,OPEN,single,1
court-conroe-immigration-court,immigration-court,Conroe Immigration Court,single,48339,"Montgomery County, TX",TX,"806 Hilbig Road, Conroe, TX 77301",single,1,OPEN,single,1
court-dallas-immigration-court,immigration-court,Dallas Immigration Court,single,48113,"Dallas County, TX",TX,"1100 Commerce Street, Suite 1060, Dallas, TX 75242",single,1,OPEN,single,1
court-denver-immigration-court,immigration-court,Denver Immigration Court,single,08031,"Denver County, CO",CO,"1961 Stout Street, Suite 3101, Denver, CO 80294",single,1,OPEN,single,1
court-detroit-immigration-court,immigration-court,Detroit Immigration Court,single,26163,"Wayne County, MI",MI,"477 Michigan Avenue, Suite 440, Detroit, MI 48226",single,1,OPEN,single,1
court-el-paso-immigration-courts,immigration-court,El Paso Immigration Court,single,48141,"El Paso County, TX",TX,"700 E. San Antonio Avenue, Suite 750, El Paso, TX 79901",single,1,OPEN,single,1
court-el-paso-spc-0,immigration-court,El Paso SPC Immigration Court,single,48141,"El Paso County, TX",TX,"8915 Montana Avenue, Suite 100, El Paso, TX 79925",single,1,OPEN,single,1
court-elizabeth-immigration-court,immigration-court,Elizabeth Immigration Court,single,34013|34039,"Union County, NJ|Essex County, NJ",NJ,"625 Evans Street, Room 148A, Elizabeth, NJ 07201",single,1,OPEN,single,1
court-eloy-immigration-court,immigration-court,Eloy Immigration Court,single,04021,"Pinal County, AZ",AZ,"1705 E. Hanna Road, Suite 366, Eloy, AZ 85131",single,1,OPEN,single,1
court-florence-immigration-court,immigration-court,Florence Immigration Court,single,04021,"Pinal County, AZ",AZ,"3260 N. Pinal Parkway Avenue, Florence, AZ 85132",single,1,OPEN,single,1
court-fort-snelling-immigration-court,immigration-court,Fort Snelling Immigration Court,single,27053,"Hennepin County, MN",MN,"1 Federal Drive, Suite 1850, Fort Snelling, MN 55111",single,1,OPEN,single,1
court-guaynabo-puerto-rico-immigration-court,immigration-court,Guaynabo (San Juan) Immigration Court,single,72061|72127,"Guaynabo Municipio, PR|San Juan Municipio, PR",PR,"#7 Tabonuco Street, Room 401, Guaynabo, PR 00968",single,1,OPEN,single,1
court-harlingen-immigration-court,immigration-court,Harlingen Immigration Court,single,48061|48489,"Cameron County, TX|Willacy County, TX",TX,"2009 West Jefferson Avenue, Suite 300, Harlingen, TX 78550",single,1,OPEN,single,1
court-hartford-immigration-court,immigration-court,Hartford Immigration Court,single,09110,09110,CT,"450 Main Street, Room 628, Hartford, CT 06103",single,1,OPEN,single,1
court-honolulu-immigration-court,immigration-court,Honolulu Immigration Court,single,15003,"Honolulu County, HI",HI,"300 Ala Moana Boulevard, Room 8-112, Honolulu, HI 96850",single,1,OPEN,single,1
court-houston-greenspoint-park-immigration-court,immigration-court,Houston – Greenspoint Park Immigration Court,single,48201,"Harris County, TX",TX,"16800 Greenspoint Park Drive, 2nd Floor, Houston, TX 77060",single,1,OPEN,single,1
court-houston-jefferson-street-immigration-court,immigration-court,Houston - Jefferson Street Immigration Court,single,48201,"Harris County, TX",TX,"500 Jefferson Street, Suite 300, Houston, TX 77002",single,1,OPEN,single,1
court-houston-south-gessner-road-immigration-court,immigration-court,Houston – S. Gessner Road Immigration Court,single,48201,"Harris County, TX",TX,"8701 S. Gessner Road, 10th Floor, Houston, TX 77074",single,1,OPEN,single,1
court-hyattsville-immigration-court,immigration-court,Hyattsville Immigration Court,single,24033,"Prince George's County, MD",MD,"3311 Toledo Road, Suite 105, Hyattsville, MD 20782",single,1,OPEN,single,1
court-imperial-immigration-court,immigration-court,Imperial Immigration Court,single,06025,"Imperial County, CA",CA,"2409 La Brucherie Road, Imperial, CA 92251",single,1,OPEN,single,1
court-indianapolis-immigration-court,immigration-court,Indianapolis Immigration Court,single,18097,"Marion County, IN",IN,"575 N. Pennsylvania Street, Suite 617, Indianapolis, IN 46204",single,1,OPEN,single,1
