id,kind,primary_name,name_agreement,county_fips,county_names,states,address,address_agreement,address_n_sources,adpLevelA,adpLevelA_agreement,adpLevelA_n_sources,adpLevelB,adpLevelB_agreement,adpLevelB_n_sources,adpLevelC,adpLevelC_agreement,adpLevelC_n_sources,adpLevelD,adpLevelD_agreement,adpLevelD_n_sources,adpTotal,adpTotal_agreement,adpTotal_n_sources,agreement,agreement_agreement,agreement_n_sources,authorizingAuthority,authorizingAuthority_agreement,authorizingAuthority_n_sources,avgLengthOfStayDays,avgLengthOfStayDays_agreement,avgLengthOfStayDays_n_sources,capacity,capacity_agreement,capacity_n_sources,circuit,circuit_agreement,circuit_n_sources,county,county_agreement,county_n_sources,docket,docket_agreement,docket_n_sources,facilityFunction,facilityFunction_agreement,facilityFunction_n_sources,femaleCrim,femaleCrim_agreement,femaleCrim_n_sources,femaleNonCrim,femaleNonCrim_agreement,femaleNonCrim_n_sources,fieldOffice,fieldOffice_agreement,fieldOffice_n_sources,firstUsed,firstUsed_agreement,firstUsed_n_sources,genderServed,genderServed_agreement,genderServed_n_sources,guaranteedMinimumBeds,guaranteedMinimumBeds_agreement,guaranteedMinimumBeds_n_sources,holdsOver72h,holdsOver72h_agreement,holdsOver72h_n_sources,iceThreatLevel1,iceThreatLevel1_agreement,iceThreatLevel1_n_sources,iceThreatLevel2,iceThreatLevel2_agreement,iceThreatLevel2_n_sources,iceThreatLevel3,iceThreatLevel3_agreement,iceThreatLevel3_n_sources,immigrationCourt,immigrationCourt_agreement,immigrationCourt_n_sources,lastFinalRating,lastFinalRating_agreement,lastFinalRating_n_sources,lastInspectionEndDate,lastInspectionEndDate_agreement,lastInspectionEndDate_n_sources,lastInspectionStandard,lastInspectionStandard_agreement,lastInspectionStandard_n_sources,lastInspectionType,lastInspectionType_agreement,lastInspectionType_n_sources,lastUsed,lastUsed_agreement,lastUsed_n_sources,maleCrim,maleCrim_agreement,maleCrim_n_sources,maleNonCrim,maleNonCrim_agreement,maleNonCrim_n_sources,mandatory,mandatory_agreement,mandatory_n_sources,noIceThreatLevel,noIceThreatLevel_agreement,noIceThreatLevel_n_sources,phone,phone_agreement,phone_n_sources,underDetentionStandards,underDetentionStandards_agreement,underDetentionStandards_n_sources
ABTHOLD,detention,ABILENE HOLD ROOM,single,48059|48253|48417|48441,"Taylor County, TX|Jones County, TX|Callahan County, TX|Shackelford County, TX",TX,"12071 FM 3522, ABILENE, TX 79601",single,1,,,,,,,,,,,,,,,,Other,single,1,DMCP,single,1,,,,,,,5,single,1,ABILENE,single,1,ABT,single,1,HOLD,single,1,,,,,,,DAL,single,1,,,,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,single,1
AMTHOLD,detention,AMARILLO HOLD ROOM,single,48375|48381,"Potter County, TX|Randall County, TX",TX,"8601 E. AMARILLO BLVD, AMARILLO, TX 79801",single,1,,,,,,,,,,,,,,,,Other,single,1,DMCP,single,1,,,,,,,5,single,1,POTTER,single,1,AMT,single,1,HOLD,single,1,,,,,,,DAL,single,1,3/21/2013,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,5/7/2017,single,1,,,,,,,,,,,,,,,,yes,single,1
ANGELTX,detention,ANGELINA COUNTY JAIL,single,48005,"Angelina County, TX",TX,"C.S.C. LUFKIN C.F.113 N. SECOND ST., LUFKIN, TX 75901",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,5,single,1,ANGELINA,single,1,HOU,single,1,,,,,,,,,,HOU,single,1,3/31/2004,single,1,,,,,,,yes,single,1,,,,,,,,,,,,,,,,,,,,,,,,,11/7/2004,single,1,,,,,,,,,,,,,,,,yes,single,1
ATASCTX,detention,ATASCOSA COUNTY JAIL,single,48013|48311,"Atascosa County, TX|McMullen County, TX",TX,"C/O JAIL ADMINISTRATOR, JOURDANTON, TX 78026",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,5,single,1,ATASCOSA,single,1,SNA,single,1,,,,,,,,,,SNA,single,1,2/21/1997,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/1/2007,single,1,,,,,,,,,,,,,,,,yes,single,1
ATTHOLD,detention,ATHENS TX HOLD ROOM,single,48001|48213,"Henderson County, TX|Anderson County, TX",TX,"109 W CORSICANA STREET, ATHENS, TX 75751",single,1,,,,,,,,,,,,,,,,Other,single,1,DMCP,single,1,,,,,,,5,single,1,HENDERSON,single,1,,,,HOLD,single,1,,,,,,,DAL,single,1,,,,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,single,1
AUSHOLD,detention,AUSTIN DRO HOLD ROOM,single,48453,"Travis County, TX",TX,"300 EAST 8TH STREET, AUSTIN, TX 78701",single,1,,,,,,,,,,,,,,,,Other,single,1,DMCP,single,1,,,,,,,5,single,1,TRAVIS,single,1,AUS,single,1,HOLD,single,1,,,,,,,SNA,single,1,6/25/2010,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2017,single,1,,,,,,,,,,,,,,,,yes,single,1
BASCOTX,detention,BASTROP COUNTY JAIL,single,48021,"Bastrop County, TX",TX,"C/O JAIL ADMINISTRATOR, BASTROP, TX 78602",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,5,single,1,BASTROP,single,1,SNA,single,1,,,,,,,,,,SNA,single,1,12/27/1990,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2007,single,1,,,,,,,,,,,,,,,,yes,single,1
BEDCITX,detention,BEDFORD MUNICIPAL DETENTION CENTER,single,48439,"Tarrant County, TX",TX,"2121 L DON DODSON DRIVE, BEDFORD, TX 76021",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,5,single,1,TARRANT,single,1,DAL,single,1,,,,,,,,,,DAL,single,1,7/6/1999,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,11/4/2017,single,1,,,,,,,,,,,,,,,,yes,single,1
BELCOTX,detention,BELL COUNTY JAIL,single,48027,"Bell County, TX",TX,"111 W. CENTRAL, BELTON, TX 76513",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,5,single,1,BELL,single,1,SNA,single,1,,,,,,,,,,SNA,single,1,5/22/1998,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/24/2007,single,1,,,,,,,,,,,,,,,,yes,single,1
BELJUTX,detention,BELL COUNTY JUVENILE,single,48027,"Bell County, TX",TX,"4800 EAST RANCIER, KILLEEN, TX 76543",single,1,,,,,,,,,,,,,,,,IGSA,single,1,JFRMU,single,1,,,,,,,5,single,1,BELL,single,1,SNA,single,1,JUVENILE,single,1,,,,,,,SNA,single,1,1/21/1999,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/19/2007,single,1,,,,,,,,,,,,,,,,no,single,1
