id,kind,primary_name,name_agreement,county_fips,county_names,states,address,address_agreement,address_n_sources,adpLevelA,adpLevelA_agreement,adpLevelA_n_sources,adpLevelB,adpLevelB_agreement,adpLevelB_n_sources,adpLevelC,adpLevelC_agreement,adpLevelC_n_sources,adpLevelD,adpLevelD_agreement,adpLevelD_n_sources,adpTotal,adpTotal_agreement,adpTotal_n_sources,agreement,agreement_agreement,agreement_n_sources,authorizingAuthority,authorizingAuthority_agreement,authorizingAuthority_n_sources,avgLengthOfStayDays,avgLengthOfStayDays_agreement,avgLengthOfStayDays_n_sources,capacity,capacity_agreement,capacity_n_sources,circuit,circuit_agreement,circuit_n_sources,county,county_agreement,county_n_sources,docket,docket_agreement,docket_n_sources,facilityFunction,facilityFunction_agreement,facilityFunction_n_sources,femaleCrim,femaleCrim_agreement,femaleCrim_n_sources,femaleNonCrim,femaleNonCrim_agreement,femaleNonCrim_n_sources,fieldOffice,fieldOffice_agreement,fieldOffice_n_sources,firstUsed,firstUsed_agreement,firstUsed_n_sources,genderServed,genderServed_agreement,genderServed_n_sources,guaranteedMinimumBeds,guaranteedMinimumBeds_agreement,guaranteedMinimumBeds_n_sources,holdsOver72h,holdsOver72h_agreement,holdsOver72h_n_sources,iceThreatLevel1,iceThreatLevel1_agreement,iceThreatLevel1_n_sources,iceThreatLevel2,iceThreatLevel2_agreement,iceThreatLevel2_n_sources,iceThreatLevel3,iceThreatLevel3_agreement,iceThreatLevel3_n_sources,immigrationCourt,immigrationCourt_agreement,immigrationCourt_n_sources,lastFinalRating,lastFinalRating_agreement,lastFinalRating_n_sources,lastInspectionEndDate,lastInspectionEndDate_agreement,lastInspectionEndDate_n_sources,lastInspectionStandard,lastInspectionStandard_agreement,lastInspectionStandard_n_sources,lastInspectionType,lastInspectionType_agreement,lastInspectionType_n_sources,lastUsed,lastUsed_agreement,lastUsed_n_sources,maleCrim,maleCrim_agreement,maleCrim_n_sources,maleNonCrim,maleNonCrim_agreement,maleNonCrim_n_sources,mandatory,mandatory_agreement,mandatory_n_sources,noIceThreatLevel,noIceThreatLevel_agreement,noIceThreatLevel_n_sources,phone,phone_agreement,phone_n_sources,underDetentionStandards,underDetentionStandards_agreement,underDetentionStandards_n_sources
AAORDMD,detention,ANNE ARUNDEL COUNTY ORDNANCE ROAD CORRECTIONAL CTR,single,24003,"Anne Arundel County, MD",MD,"600 E. ORDNANCE ROAD, GLEN BURNIE, MD 21060",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,130,single,1,4,single,1,ANNE ARUNDEL,single,1,,,,,,,,,,,,,BAL,single,1,10/30/2017,single,1,,,,,,,yes,single,1,,,,,,,,,,,,,,,,,,,,,,,,,11/4/2017,single,1,,,,,,,,,,,,,,,,yes,single,1
ABQHOLD,detention,ALBUQUERQUE HOLD ROOM,single,35001,"Bernalillo County, NM",NM,"1720 RANDOLPH ROAD, ALBUQUERQUE, NM 87106",single,1,,,,,,,,,,,,,,,,Other,single,1,DMCP,single,1,,,,,,,10,single,1,BERNALILLO,single,1,ABQ,single,1,HOLD,single,1,,,,,,,ELP,single,1,5/26/2009,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,10/24/2017,single,1,,,,,,,,,,,,,,,,yes,single,1
ABRDNWA,detention,ABERDEEN CITY JAIL,single,53027,"Grays Harbor County, WA",WA,"210 EAST MARKET ST, ABERDEEN, WA 98520",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,9,single,1,GRAYS HARBOR,single,1,SEA,single,1,,,,,,,,,,SEA,single,1,9/14/2007,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/20/2007,single,1,,,,,,,,,,,,,,,,yes,single,1
ABRXSPA,detention,ABRAXAS ACADEMY DETENTION CENTER,single,42011|42029|42071,"Berks County, PA|Lancaster County, PA|Chester County, PA",PA,"1000 ACADEMY DRIVE, MORGANTOWN, PA 19543",single,1,,,,,,,,,,,,,,,,IGSA,single,1,JFRMU,single,1,,,,,,,3,single,1,BERKS,single,1,BRK,single,1,JUVENILE,single,1,,,,,,,PHI,single,1,5/23/2014,single,1,,,,,,,yes,single,1,,,,,,,,,,,,,,,,,,,,,,,,,11/4/2017,single,1,,,,,,,,,,,,,,,,no,single,1
ABTHOLD,detention,ABILENE HOLD ROOM,single,48059|48253|48417|48441,"Taylor County, TX|Jones County, TX|Callahan County, TX|Shackelford County, TX",TX,"12071 FM 3522, ABILENE, TX 79601",single,1,,,,,,,,,,,,,,,,Other,single,1,DMCP,single,1,,,,,,,5,single,1,ABILENE,single,1,ABT,single,1,HOLD,single,1,,,,,,,DAL,single,1,,,,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,single,1
ADACOID,detention,ADA COUNTY JAIL,single,16001,"Ada County, ID",ID,"7210 BARRISTER DRIVE, BOISE, ID 83704",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,9,single,1,ADA,single,1,HEL,single,1,,,,,,,,,,SLC,single,1,9/28/1998,single,1,,,,,,,no,single,1,,,,,,,,,,,,,,,,,,,,,,,,,9/7/2010,single,1,,,,,,,,,,,,,,,,yes,single,1
ADAMSCO,detention,ADAMS COUNTY JAIL,single,08001|08123,"Adams County, CO|Weld County, CO",CO,"1901 E BRIDGE STREET, BRIGHTON, CO 80601",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,10,single,1,ADAMS,single,1,DEN,single,1,,,,,,,,,,DEN,single,1,1/22/1991,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/20/2008,single,1,,,,,,,,,,,,,,,,yes,single,1
ADAMSMS,detention,ADAMS COUNTY CORRECTIONAL CENTER,conflict,28001|28063,"Adams County, MS|Jefferson County, MS",MS,"20 HOBO FORK RD., NATCHEZ, MS 39120",conflict,3,1505.7,single,1,227.8,single,1,84,single,1,60.7,single,1,1878.2,single,1,DIGSA,conflict,2,,,,34.6,single,1,,,,5,single,1,Adams,single,1,,,,,,,0,single,1,0,single,1,NOL,converged,3,,,,Male,single,1,1436,conflict,2,yes,single,1,65.6,single,1,56.9,single,1,94.1,single,1,,,,Pass,single,1,2026-05-07,single,1,PBNDS 2011 - 2016 Revisions,single,1,ODO,single,1,,,,160.1,single,1,1718.1,single,1,1188.3,single,1,1661.7,single,1,(601) 304-3003,single,1,,,
ADAMSPA,detention,ADAMS COUNTY JAIL,single,42001,"Adams County, PA",PA,"45 MAJOR BELL LANE, GETTYSBURGH, PA 17325",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,3,single,1,ADAMS,single,1,,,,,,,,,,,,,PHI,single,1,,,,,,,,,,yes,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,single,1
ADAMSWA,detention,ADAMS COUNTY,single,53001|53043,"Adams County, WA|Lincoln County, WA",WA,"210 W BRAODWAY, RITZVILLE, WA 99169",single,1,,,,,,,,,,,,,,,,IGSA,single,1,DMCP,single,1,,,,,,,9,single,1,ADAMS,single,1,SPO,single,1,,,,,,,,,,SEA,single,1,10/6/2003,single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/20/2012,single,1,,,,,,,,,,,,,,,,yes,single,1
